resolved,resolution,label_state,rationale
MNI152NLin6Asym,resolved,canonical,resolved variant identifier
MNI152NLin2009cAsym,resolved,canonical,resolved variant identifier
Talairach,resolved,family_specified,"Talairach is a coordinate SYSTEM realized by many digital templates -> family-level, NOT a resolvable variant (protocol v1.2 CALL 2). A documented member->tier lookup, not 'resolved => canonical'."
native_volume,resolved,native_volume,direct member->tier
study_specific,resolved,study_specific,direct member->tier
other,resolved,family_specified,"named a target the enum cannot canonicalise -> family-level (catch-all; UNUSED on this corpus)"
,underspecified,family_specified,"resolved=None + resolver verdict 'underspecified' (a bare MNI-family term: 'MNI'/'MNI152'/'MNI standard space') -> family_specified. Under 0.5.0 this is recorded EXTRACTED with the verbatim term, NOT the pre-0.5.0 value_not_in_literal false-missing."
,unrecognized,__named_vs_unnamed_on_verbatim__,"resolved=None + resolver verdict 'unrecognized' (no_match/ambiguous): apply protocol CALL 3 to the VERBATIM term -> a NAMED template (gordon 'EPI template') = family_specified; a bare atlas/standard-space GESTURE (power/poldrack 'atlas space') = absent. The 'underspecified' row above is applied FIRST, so a family term containing a gesture substring ('MNI standard space') is not misgraded."
,__no_verbatim__,absent,"resolved=None AND no verbatim term captured -> genuine absence (ciric, mueller, viduarre; liu_2005 on the corrupted PDF). Mirrors base_pipeline MISSING -> NOT_REPORTED."
DEFERRED,,deferred,"extraction status DEFERRED_TO_CITATION -> deferred (braun)."
