paper_id,status,value,specificity,supporting_quote,notes,labeler
chen_2015 (EXAMPLE),REPORTED,CCS,named_pipeline,The Connectome Computation System (CCS) ... The primary CCS pipeline consists of both anatomical and functional processing.,Names an end-to-end pipeline. (Example row — do not edit.),Jae Wook Cho
viduarre_2017 (EXAMPLE),DEFERRED_TO_CITATION,Smith et al.; Glasser et al.,,The preprocessing pipeline followed the technique of Smith et al. ... Spatial preprocessing was applied using the procedure described by Glasser et al.,"Defers to citations; value is the authors verbatim, NOT 'HCP pipeline'. Specificity blank for deferrals. (Example row — do not edit.)",Jae Wook Cho
agtzidis_2020,REPORTED,SPM12,toolbox_only,"The fMRI data analysis was performed with SPM12 using Matlab 9.2."" The trap we worked through: agtzidis also says ""we initially followed a standard preprocessing pipeline (Poldrack et al., 2011)","Poldrack et al., 2011 is a textbook",Jae Wook Cho
braun_2015,DEFERRED_TO_CITATION,"47. Cao H, et al. (2014) Test-retest reliability of fMRI-based graph theoretical properties
during working memory, emotion processing, and resting state. Neuroimage
84:888–900.
48. Plichta MM, et al. (2012) Test-retest reliability of evoked BOLD signals from a cog-
nitive-emotive fMRI test battery. Neuroimage 60(3):1746–1758.
49. Leonardi N, Van De Ville D (2015) On spurious and real fluctuations of dynamic
functional connectivity during rest. Neuroimage 104:430–436. 3. Bassett DS, et al. (2011) Dynamic reconfiguration of human brain networks during
learning. Proc Natl Acad Sci USA 108(18):7641–7646.",,"Data were preprocessed according to standard protocols as previously described in refs. 47 and 48. After preprocessing, the mean time series in 5-mm spheres around coordinates defined by ref. 36 were extracted. For reasons of brain coverage, six additional coordinates were added based on metaanalytical studies. After applying a sliding time window with the length of 15 volumes and no gap between windows as suggested by Leonardi et al. (49), we used the
Morlet wavelet transform to estimate the functional connectivity between each pair of brain regions in the frequency interval 0.08–0.15 Hz, as described pre-viously (3). ",,Jae Wook Cho
chen_2015,REPORTED,CCS,named_pipeline,"The Connectome Computation System (CCS: https://github.com/zuoxinian/CCS) was devel-
oped to provide a multimodal image analysis platform for the discovery science of human
brain function by integrating three main MRI data processing packages [48–50] with our
MATLAB implementations of various computational modules for image quality control, sur-
face-based rfMRI metrics, data mining algorithms, reliability and reproducibility assessments
and visualization. The primary CCS pipeline consists of both anatomical and functional pro-
cessing, which are documented in the CCS paper in details [51]. Here, we only provide an over-
all description of these steps.
The CCS anatomical pipeline first removed noise from individual MR T1 images by adopting
a spatially adaptive non-local means filter [52, 53]. For each participant, regarding that the focus
of the present analysis is changes of rfMRI metrics, we aligned and averaged the ten de-noised T1
images to produce a robust, high-resolution anatomical image with high contrast between gray
matter (GM) and white matter (WM) for generation of an individual cortical surface model as
anatomical reference. Using this image, the skull was then stripped and manually edited for a bet-
ter brain extraction, and the 3D extracted brain volume was segmented into different tissues such
as cerebrospinal fluid (CSF), WM, GM and further parcellation of the GM tissue. With such
information, individual pial (GM/CSF boundary) and white (GM/WM boundary) surfaces were
reconstructed and spatially normalized to match a group-level standard template surface in the
Montreal Neurological Institute (MNI) space via a sphere registration [49, 54, 55].
The subsequent CCS functional pipeline discarded the first 5 EPI volumes (10 seconds),
removed and interpolated temporal spikes (see instructions in [56, 57] regarding in-scanner
head motion), corrected acquisition timing among image slices and head motion among image
volumes and normalized the 4D global mean intensity to 10,000. White surfaces were then
employed by a boundary-based registration (BBR) algorithm to match spatial correspondences
between individual functional images to anatomical images [58]. To further eliminate the effect
of head motion and physiological noises during the rfMRI scanning session, we regressed out
the estimated Friston’s 24-parameter motion curves [37] and nuisance signals measured as
WM and CSF mean time series [59] from individual rfMRI time series. Linear and quadratic
trends were also regressed out from the rfMRI data by multiple linear regressions. Finally, the
data were projected onto the fsaverage surface grid (average inter-vertex distance = 1 mm) and
down-sampled to the fsaverge5 surface grid (average inter-vertex distance = 4 mm) for subse-
quent rfMRI computation.",,Jae Wook Cho
ciric_2017,REPORTED,XCP Engine,named_pipeline,"Task-free functional images were processed using the XCP Engine (Ciric et al., In
Preparation), which was configured to support the 14 pipelines evaluated in this study (see
Figure 1). Each pipeline was based on de-noising strategies previously described in the
neuroimaging literature. A number of preprocessing procedures were included across all de-
noising pipelines. Common elements of preprocessing included (1) correction for distortions
induced by magnetic field inhomogeneities using FSL's FUGUE utility, (2) removal of the 4
initial volumes of each acquisition, (3) realignment of all volumes to a selected reference
volume using MCFLIRT (Jenkinson et al., 2002), (4) demeaning and removal of any linear
or quadratic trends, (5) co-registration of functional data to the high-resolution structural
image using boundary-based registration (Greve and Fischl, 2009), and (6) temporal filtering
using a first-order Butterworth filter with a passband between 0.01 and 0.08 Hz. We did not
apply slice timing correction during preprocessing, as recent data suggest that the
interpolation that occurs may artificially reduce motion estimates (Power et al., under
review). These preliminary processing stages were then followed by the confound regression
procedures described below. In order to prevent frequency-dependent mismatch during
confound regression (Hallquist et al., 2013), all regressors were band-pass filtered to retain
the same frequency range as the data. As in our prior work (Satterthwaite et al., 2012, 2013),
the primary summary metric of subject motion used was the mean relative RMS (root-mean-
squared) displacement calculated during time series realignment using MCFLIRT.",,Jae Wook Cho
cole_2013,REPORTED,AFNI; FreeSurfer,toolbox_only; toolbox_only,"Preprocessing was performed using AFNI48 and Freesurfer49. Preprocessing consisted of
standard functional connectivity preprocessing (typically performed with resting-state data),
with several modifications given that analyses were performed here on task-state data. Like
standard functional connectivity preprocessing23, we performed slice timing correction,
motion correction, normalization to a Talairach template, removal of nuisance time series
(motion, ventricle, and white matter signals, along with their derivatives) using linear
regression, restriction of data to a gray matter mask (dilated by one voxel), and spatial
smoothing within the gray matter mask (6 mm full width at half maximum). Unlike standard
resting-state functional connectivity preprocessing, whole brain signal was not included as a
nuisance covariate (given current controversy over this procedure50), and a low-pass
temporal filter was not applied (given the likely presence of task signals at higher
frequencies than the relatively slow resting-state fluctuations). Freesurfer was used to
identify ventricle, white matter, and gray matter anatomical structures for each participant.",,Jae Wook Cho
derosa_2025,REPORTED,FSL,toolbox_only,"The univariate analyses were minimally examined and reported by
Kim et al. (2020) (Supplementary Fig. 1) and are expanded upon in the
present report. Standard fMRI preprocessing procedures were carried
out using the FSL suite (version 5.0.10) (http://fsl.fmrib.ox.ac.uk),
including motion correction via ICA-AROMA (version 0.3 beta), high-
pass filtering (100 s), and BET brain extraction. Registration of EPI
images into subject- and standard-spaces was executed using FLIRT
(version 6.0). Individual subject EPI images were registered to that
subject’s MPRAGE structural image via linear Boundary-Based Registration
and then registered to the MNI-152 template via 12 degrees of
freedom linear transformation. The resulting EPI images were smoothed
using an 8 mm full-width half-maximum Gaussian smoothing kernel.
FEAT (version 6.00) was used to model effects during the 6 TRs (2760
ms) during which the manipulation of the item was occurring, with
fixation blocks at the beginning and end of each run serving as a baseline.
The TRs during the presentation time of the stimulus and the TRs
during the inter-trial interval fixations both served as EVs of no interest.",,Jae Wook Cho
gordon_2014,REPORTED,SPM8,toolbox_only,"Using SPM8 (Wellcome Department of Cognitive Neurol-
ogy, London, UK) implemented in MATLAB (Version 7.10
Mathworks, Inc., Sherborn, MA), images were corrected for
translational and rotational motion by realigning to the first
image of each scanning run (Rest1, N-back, and Rest2).
Across all runs, all subjects demonstrated less than 2.0 mm
of translational motion from the first image in any one direc-
tion (max translation¼ 1.25 mm) and less than 1.0 of rota-
tion from the first image around any one axis (max rotation
¼ .54 ). Root mean squared (RMS) motion was further calcu-
lated as a summary measure of motion for each subject in
each run. RMS motion was 0.076 0.23 in the Rest1 run,
0.085 0.39 in the Nback run, and 0.083 0.31 in the Rest2
run, and paired t-tests indicated that it did not differ
between runs (all pairwise ts < 1.8, all ps > 0.05). Further
analyses indicated that the reported results were not caused
by effects of motion (see Supporting Information).
Images were then slice-time corrected, normalized to an
EPI template, and smoothed using a Gaussian kernel with
full-width at half-maximum (FWHM) of 8 mm. Finally, a
band-pass filter was applied to the data to restrict signal variation to frequencies between 0.01 Hz and 0.1 Hz, corre-
sponding to the frequency range established in the literature
for fluctuations in resting state data [Biswal et al., 1995].",,Jae Wook Cho
liu_2005,REPORTED,BrainVoyager; custom software,toolbox_only; in_house,"fMRI Data Analysis Imaging data were analyzed using BrainVoyager (Brain Innovation,
Maastricht, the Netherlands) and custom software written in Mat- lab. Each participant’s high-resolution anatomic volume was trans- formed into Talairach space (Talairach and Tournoux, 1988), after which an automated segmentation procedure was applied to ob- tain a surface reconstruction of the white-gray matter boundary. The surface was further inflated to reveal the sulci/gyri pattern. All analyses were performed on this inflated representation of the cor-
tical sheet. Preprocessing of functional data included slice time
correction, motion correction, linear trend removal, and temporal
high-pass filtering (three cycles per scan) to remove slow drifts in
the fMRI signal. Given the block design, no slice time correction
was applied to data from the localizer scan. The 2D functional data
were then aligned with the high-resolution anatomic volume and
transformed into 3D data in the Talairach space with 3 × 3 × 3 mm resolution. Images were not spatially smoothed.",,Jae Wook Cho
